"","t","month_position","coverage_interp"
"133",133,30.588776448942,0.00235510579576817
"134",134,30.81876724931,0.00327506899724011
"135",135,31.048758049678,0.00478012879484822
"136",136,31.278748850046,0.008459981600736
"137",137,31.508739650414,0.0121398344066238
"138",138,31.738730450782,0.0158196872125115
"139",139,31.96872125115,0.0194995400183993
"140",140,32.1987120515179,0.0333137074517018
"141",141,32.4287028518859,0.0487230910763568
"142",142,32.6586936522539,0.0641324747010119
"143",143,32.8886844526219,0.079541858325667
"144",144,33.1186752529899,0.106106715731371
"145",145,33.3486660533579,0.143135234590617
"146",146,33.5786568537259,0.180163753449862
"147",147,33.8086476540938,0.217192272309108
"148",148,34.0386384544618,0.251129714811408
"149",149,34.2686292548298,0.269758969641215
"150",150,34.4986200551978,0.288388224471021
"151",151,34.7286108555658,0.307017479300828
"152",152,34.9586016559338,0.325646734130635
"153",153,35.1885924563017,0.334469181232751
"154",154,35.4185832566697,0.341138914443422
"155",155,35.6485740570377,0.347808647654094
"156",156,35.8785648574057,0.354478380864765
"157",157,36.1085556577737,0.367770009199632
"158",158,36.3385464581417,0.388469181232751
"159",159,36.5685372585097,0.409168353265869
"160",160,36.7985280588776,0.429867525298988
"161",161,37.0285188592456,0.44845630174793
"162",162,37.2585096596136,0.452136154553818
"163",163,37.4885004599816,0.455816007359706
"164",164,37.7184912603496,0.459495860165593
"165",165,37.9484820607176,0.463175712971481
"166",166,38.1784728610856,0.465963201471941
"167",167,38.4084636614535,0.468493100275989
"168",168,38.6384544618215,0.471022999080037
"169",169,38.8684452621895,0.473552897884085
"170",170,39.0984360625575,0.475590616375345
"171",171,39.3284268629255,0.476970561177553
"172",172,39.5584176632935,0.478350505979761
"173",173,39.7884084636615,0.479730450781969
"174",174,40.0183992640294,0.481036798528059
"175",175,40.2483900643974,0.481496780128795
"176",176,40.4783808647654,0.481956761729531
"177",177,40.7083716651334,0.482416743330267
"178",178,40.9383624655014,0.482876724931003
"179",179,41.1683532658694,0.401685372585097
"180",180,41.3983440662373,0.29059981600736
