Week,Week Ending,Lab-Confirmed Influenza Cases
21,"May 26, 2018",2
22,"Jun 02, 2018",2
23,"Jun 09, 2018",1
24,"Jun 16, 2018",0
25,"Jun 23, 2018",0
26,"Jun 30, 2018",0
27,"Jul 07, 2018",0
28,"Jul 14, 2018",0
29,"Jul 21, 2018",0
30,"Jul 28, 2018",0
31,"Aug 04, 2018",0
32,"Aug 11, 2018",0
33,"Aug 18, 2018",0
34,"Aug 25, 2018",0
35,"Sep 01, 2018",0
36,"Sep 08, 2018",0
37,"Sep 15, 2018",0
38,"Sep 22, 2018",0
39,"Sep 29, 2018",1
40,"Oct 06, 2018",0
41,"Oct 13, 2018",0
42,"Oct 20, 2018",2
43,"Oct 27, 2018",0
44,"Nov 03, 2018",2
45,"Nov 10, 2018",0
46,"Nov 17, 2018",0
47,"Nov 24, 2018",2
48,"Dec 01, 2018",5
49,"Dec 08, 2018",3
50,"Dec 15, 2018",5
51,"Dec 22, 2018",9
52,"Dec 29, 2018",16
1,"Jan 05, 2019",19
2,"Jan 12, 2019",21
3,"Jan 19, 2019",21
4,"Jan 26, 2019",26
5,"Feb 02, 2019",39
6,"Feb 09, 2019",51
7,"Feb 16, 2019",62
8,"Feb 23, 2019",73
9,"Mar 02, 2019",74
10,"Mar 09, 2019",87
11,"Mar 16, 2019",54
12,"Mar 23, 2019",72
13,"Mar 30, 2019",43
14,"Apr 06, 2019",39
15,"Apr 13, 2019",22
16,"Apr 20, 2019",16
17,"Apr 27, 2019",15
18,"May 04, 2019",7
19,"May 11, 2019",2
20,"May 18, 2019",2
21,"May 25, 2019",3
22,"Jun 01, 2019",0
23,"Jun 08, 2019",1
24,"Jun 15, 2019",2
25,"Jun 22, 2019",0
26,"Jun 29, 2019",0
27,"Jul 06, 2019",0
28,"Jul 13, 2019",0
29,"Jul 20, 2019",0
30,"Jul 27, 2019",0
31,"Aug 03, 2019",0
32,"Aug 10, 2019",0
33,"Aug 17, 2019",0
34,"Aug 24, 2019",0
35,"Aug 31, 2019",0
36,"Sep 07, 2019",0
37,"Sep 14, 2019",0
38,"Sep 21, 2019",0
39,"Sep 28, 2019",0
40,"Oct 05, 2019",1
41,"Oct 12, 2019",1
42,"Oct 19, 2019",1
43,"Oct 26, 2019",0
44,"Nov 02, 2019",0
45,"Nov 09, 2019",0
46,"Nov 16, 2019",1
47,"Nov 23, 2019",0
48,"Nov 30, 2019",0
49,"Dec 07, 2019",1
50,"Dec 14, 2019",1
51,"Dec 21, 2019",3
52,"Dec 28, 2019",9
1,"Jan 04, 2020",15
2,"Jan 11, 2020",16
3,"Jan 18, 2020",8
4,"Jan 25, 2020",20
5,"Feb 01, 2020",36
6,"Feb 08, 2020",31
7,"Feb 15, 2020",30
8,"Feb 22, 2020",41
9,"Feb 29, 2020",34
10,"Mar 07, 2020",56
11,"Mar 14, 2020",49
12,"Mar 21, 2020",47
13,"Mar 28, 2020",35
14,"Apr 04, 2020",9
15,"Apr 11, 2020",1
16,"Apr 18, 2020",0
17,"Apr 25, 2020",0
18,"May 02, 2020",1
19,"May 09, 2020",1
20,"May 16, 2020",0
21,"May 23, 2020",0
22,"May 30, 2020",0
23,"Jun 06, 2020",0
24,"Jun 13, 2020",0
25,"Jun 20, 2020",0
26,"Jun 27, 2020",0
27,"Jul 04, 2020",0
28,"Jul 11, 2020",0
29,"Jul 18, 2020",0
30,"Jul 25, 2020",0
31,"Aug 01, 2020",0
32,"Aug 08, 2020",0
33,"Aug 15, 2020",0
34,"Aug 22, 2020",0
35,"Aug 29, 2020",0
