...1,b1,b2,b3,mu_EI,mu_IR,rho,mu_RS,eta,N,k,loglik,loglik.se
96,1.37481476978717,15.3222753190813,6.0307575174186,2.10985050494607,0.00768384989285985,0.790671944311235,0.005,0.217618891817436,34530000,10,-1639.24901650998,0.0317448649319853
334,0.923141349071722,166.536495278408,7.91805543048955,2.83079736174212,0.00632859782025196,0.772986920882491,0.005,0.344774551348117,34530000,10,-1639.30256091578,0.0509148697382014
15,1.53789930101286,34.8572975820036,20.8111918339365,2.38649576284899,0.00809407275386602,0.754177116447728,0.005,0.179021856908618,34530000,10,-1639.43740347557,0.0431377077839994
88,0.735829213130634,19.1249804863915,29.9423356073861,4.751737077682,0.00572534547443956,0.773445869288567,0.005,0.426758386970235,34530000,10,-1639.44739743834,0.0709563798798323
239,1.04955992436842,11.1893889138588,21.4214110411973,1.51570786199341,0.0064072271645208,0.813440078204024,0.005,0.325602838028067,34530000,10,-1639.45566737957,0.0432252328962666
375,0.726580762115695,11.5582665403037,0.155133020966937,0.961494620033607,0.00487540888894422,0.833340946050765,0.005,0.574083539917682,34530000,10,-1639.53919777509,0.0933705900616852
385,2.51002430584654,27.4707285243706,35.9163583331103,0.953284120336763,0.00900791278612173,0.821623186155013,0.005,0.116328723427341,34530000,10,-1639.59346807942,0.0529023235531447
47,0.509580934860592,12.0924227018626,46.9917300318221,3.60631296224452,0.00374620732691338,0.892381318483743,0.005,0.679340805667757,34530000,10,-1639.64593907736,0.0928924825849865
135,1.2641013855816,28.6240603515475,22.6931685049583,1.94976085548124,0.00636855563169002,0.805371831812237,0.005,0.248373328597956,34530000,10,-1639.66769401643,0.0629875846322867
343,1.13482573611119,8.78071819611999,68.9989376401916,5.10058991313962,0.00716056412712778,0.747732592008908,0.005,0.245272884266708,34530000,10,-1639.71687198504,0.0613380534775162
193,1.07561721567956,97.7939692083226,41.7155670720152,2.87622704225845,0.00715184854290848,0.722407575952679,0.005,0.280374821011596,34530000,10,-1639.8407707882,0.0923057056446656
163,0.638774069956501,9.14681261722081,0.00190164073426365,2.10155554070856,0.0149037582681085,0.277641290306042,0.005,0.536724974780415,34530000,10,-1639.85609160866,0.159102373871705
335,1.26580259695435,67.0863309138122,1.52930481036127,5.59121808163409,0.00925629561422493,0.65277164308519,0.005,0.210531582418448,34530000,10,-1639.95428734949,0.0576524224640894
72,1.44266865853064,53.497482234481,32.4639072053382,3.56754334257627,0.00852911863706515,0.702856375750818,0.005,0.185077091389609,34530000,10,-1639.96906854554,0.0712321724750918
352,2.52035249789094,64.0611734490222,13.4457378843875,1.38145244100931,0.363173356446291,0.0915237904915527,0.005,0.16363771860876,34530000,10,-1639.99501853705,0.0132728280034936
356,0.518122562743574,31.634307469116,22.171490394751,11.236015712789,0.00524540663354193,0.736055826746048,0.005,0.620542615276872,34530000,10,-1640.02627440583,0.0920198886641044
289,0.788964210592827,11.4939960026546,12.7605235524666,7.55858238520357,0.00706424044789152,0.819136325746048,0.005,0.380897275270478,34530000,10,-1640.06298039546,0.0396780542809538
269,0.754882387521741,13.6302387419701,28.5107445991926,4.22563887400186,0.00558660902880176,0.750229838686427,0.005,0.420461808967003,34530000,10,-1640.13240229455,0.0659208560624085
219,0.542620899815546,14.4383158968789,445.152049906613,2.76935908936355,0.00341990883587664,0.921272285032787,0.005,0.661247989713864,34530000,10,-1640.17139226298,0.110172493254213
140,0.512805166032467,140.588322702288,74.0942402319077,2.49643784517045,0.00405883207661748,0.837536927971795,0.005,0.710727372958041,34530000,10,-1640.31677186655,0.22558686445701
214,9.3965047744429,49.6127093034534,1.05333613898327,0.127090548191407,0.0215506167037435,0.496296563071271,0.005,0.0677160577295869,34530000,10,-1640.32386637036,0.0361359479691259
63,1.21706562188052,80.5797074573956,263.257217982386,5.50313581802185,0.00800658699242643,0.684115404593556,0.005,0.222623584831525,34530000,10,-1640.34712397061,0.0881132308810119
280,0.380295762827898,94.7793065118725,242.477698621323,7.98338583419097,0.0030559704340738,0.904681964753115,0.005,0.909515751841537,34530000,10,-1640.47263056732,0.0995923061358318
394,1.11221453827099,4.73006607137523,70.0568778579956,1.61809161791608,0.00734781436492901,0.762578508692155,0.005,0.296960454824194,34530000,10,-1640.58740653868,0.0480820324640554
127,1.58351041880506,39.1107996136571,45.3550439805483,3.83269350101531,0.0097555423412488,0.667443930188618,0.005,0.161151318730562,34530000,10,-1640.59223896731,0.0296583743493891
263,1.50091215452354,21.6742851015182,48.7034222504226,2.91743965897387,0.00891118637809133,0.677446221584601,0.005,0.179503880617886,34530000,10,-1640.59369931708,0.0693797679211669
53,1.31776156110441,33.2729403832537,1.01556451137429,2.19908484337462,0.00914803645585246,0.625003048597367,0.005,0.222086563011196,34530000,10,-1640.63563193997,0.0686401460333373
