Beta,mu_EI,mu_IR,mu_RS,rho,eta,k,N,loglik,loglik.se,Np,nfilt
4.164689277051706,8.38492545714715,4.3748085223467115,0.09018140088646975,0.01351462190165401,0.0019691579480801,4,52900000,-6494.150763589036,0.00332913370257258,2000,10
4.164689277051706,8.38492545714715,4.3748085223467115,0.09018140088646975,0.01351462190165401,0.0019691579480801,4,52900000,-6494.150763589036,0.00332913370257258,2000,10
2.8881002270977114,14.238342079657263,2.6430394107972734,0.09143533046525368,0.01239413504996997,0.00179808889373653,4,52900000,-6495.133538475122,0.003145130544811,2000,10
2.8881002270977114,14.238342079657263,2.6430394107972734,0.09143533046525368,0.01239413504996997,0.00179808889373653,4,52900000,-6495.133538475122,0.003145130544811,2000,10
7.08101307667893,5.392920148795302,11.550459212568096,0.05355034730244929,0.01926120266891523,4.8323871825576344e-4,5,52900000,-6528.588121472639,0.011086207838194128,2000,10
2.7906671663698988,16.385399616416887,2.6840201926191596,0.09889183752450598,0.01397938652401611,0.00179962821040976,4,52900000,-6538.875098334092,0.0014964081037746801,2000,10
2.7906671663698988,16.385399616416887,2.6840201926191596,0.09889183752450598,0.01397938652401611,0.00179962821040976,4,52900000,-6538.875098334092,0.0014964081037746801,2000,10
3.168362539682133,8.094612418547515,2.9249972307759524,0.09884042781070268,0.01150738026109371,0.00169120092423891,4,52900000,-6539.10168244988,0.0012813184965825,2000,10
3.168362539682133,8.094612418547515,2.9249972307759524,0.09884042781070268,0.01150738026109371,0.00169120092423891,4,52900000,-6539.10168244988,0.0012813184965825,2000,10
2.891444857966622,81.57075940909225,2.6359177184746083,0.09288539336745594,0.01240868296056551,0.00207626665119269,4,52900000,-6539.312032070802,0.00146304608322879,2000,10
3.0424745160451403,12.427252725224031,2.9135090576385476,0.0978707100876776,0.01311154136356925,0.00211927546973286,4,52900000,-6542.390874750731,0.00322769801903972,2000,10
2.707938172748802,25.9449973685524,2.657077008742291,0.10501588027934924,0.01452280997475949,0.00172622153452492,4,52900000,-6543.59039487048,0.00357186682669043,2000,10
2.4387773623953133,48.59893167463383,2.2356466155900496,0.09426642049672032,0.01392453012797601,0.00170330448110911,4,52900000,-6559.546208192937,0.00235640262720659,2000,10
3.68632986770586,29.251060610158248,3.427750025711372,0.04689367314738089,0.017480170432646908,5.255737810734099e-4,5,52900000,-6567.02070077358,0.009447101243516899,2000,10
2.6247656273203184,13.054776447183364,2.4370892305313636,0.1119777500123701,0.01191295133740112,0.00181060763208464,4,52900000,-6569.452153157769,0.00211919874485487,2000,10
8.512829234220334,4.8208682681146,25.151193306243965,0.053684183616056064,0.019797935613197908,5.734395311398672e-4,5,52900000,-6572.06877283733,0.01280587667770913,2000,10
3.15552251393985,16.635955172006213,3.120215414959413,0.11659027741244832,0.01213622478660543,0.00203055479116536,4,52900000,-6572.684200475709,0.00261998680125739,2000,10
2.782547570623501,12.079314385380744,2.639577143393961,0.11184654077313892,0.01245264045015877,0.00177149571592607,4,52900000,-6595.834567418982,0.00205880824854732,2000,10
2.892821902100705,33.78982574743887,2.813468057613873,0.0504717000657202,0.021428616503478222,5.604782738231493e-4,5,52900000,-6601.776554528709,0.01013990642377054,2000,10
3.2748977148838914,71.25974600095648,3.3192085347024536,0.11255088518806926,0.01341517985230834,0.00189890795173022,4,52900000,-6610.3967538470415,0.00181094486091541,2000,10
3.2748977148838914,71.25974600095648,3.3192085347024536,0.11255088518806926,0.01341517985230834,0.00189890795173022,4,52900000,-6610.3967538470415,0.00181094486091541,2000,10
