Beta,mu_EI,mu_IR,mu_RS,rho,eta,k,N,loglik,loglik.se,Np,nfilt
2.420540576349876,7.178655114701589,2.0422512020253247,0.07083348985416864,0.012961415227485115,0.001953541734069602,4,52900000,-6363.260358592187,0.002343211474303759,2000,10
1.5,1.75,1.4,0.05,0.033,0.00189035916824196,4,52900000,-6399.809689967924,0.0066579327487324,NA,NA
2.8839520271337693,55.89254558721017,2.7498901940012326,0.07668377430810312,0.01551049127727876,0.00171736368851338,4,52900000,-6410.350861052431,0.00203008325651165,2000,10
2.8839520271337693,55.89254558721017,2.7498901940012326,0.07668377430810312,0.015510491277278764,0.0017173636885133875,4,52900000,-6410.350861052431,0.0020300832565116563,2000,10
3.0608587158128095,8.944955308259292,2.7332852446172127,0.07063838054127962,0.01372556677373727,0.00201751410321625,4,52900000,-6411.576075834066,0.00346088478609887,2000,10
3.0608587158128095,8.944955308259292,2.7332852446172127,0.07063838054127962,0.013725566773737272,0.002017514103216255,4,52900000,-6411.576075834066,0.003460884786098871,2000,10
5.860677502456694,4.966204532749784,7.535140359599803,0.07939144988890189,0.01527566259545917,0.00167722177061218,4,52900000,-6450.342944635697,0.00295587191097327,2000,10
5.860677502456694,4.966204532749784,7.5351403595998026,0.07939144988890189,0.015275662595459179,0.0016772217706121863,4,52900000,-6450.342944635697,0.0029558719109732744,2000,10
2.891444857966622,81.57075940909225,2.6359177184746083,0.09288539336745594,0.01240868296056551,0.00207626665119269,4,52900000,-6539.312032070802,0.00146304608322879,2000,10
2.891444857966622,81.57075940909225,2.6359177184746083,0.09288539336745594,0.012408682960565517,0.0020762666511926937,4,52900000,-6539.312032070802,0.0014630460832287962,2000,10
3.0424745160451403,12.427252725224031,2.9135090576385476,0.0978707100876776,0.01311154136356925,0.00211927546973286,4,52900000,-6542.390874750731,0.00322769801903972,2000,10
3.0424745160451403,12.427252725224031,2.9135090576385476,0.09787071008767761,0.013111541363569259,0.0021192754697328636,4,52900000,-6542.390874750731,0.0032276980190397266,2000,10
2.707938172748802,25.9449973685524,2.657077008742291,0.10501588027934924,0.01452280997475949,0.00172622153452492,4,52900000,-6543.59039487048,0.00357186682669043,2000,10
2.707938172748802,25.9449973685524,2.657077008742291,0.10501588027934924,0.014522809974759493,0.0017262215345249274,4,52900000,-6543.59039487048,0.003571866826690439,2000,10
2.4387773623953133,48.59893167463383,2.2356466155900496,0.09426642049672032,0.01392453012797601,0.00170330448110911,4,52900000,-6559.546208192937,0.00235640262720659,2000,10
2.4387773623953133,48.59893167463383,2.2356466155900496,0.09426642049672031,0.013924530127976011,0.00170330448110911,4,52900000,-6559.546208192937,0.0023564026272065997,2000,10
2.6247656273203184,13.054776447183364,2.4370892305313636,0.1119777500123701,0.01191295133740112,0.00181060763208464,4,52900000,-6569.452153157769,0.00211919874485487,2000,10
2.6247656273203184,13.054776447183363,2.4370892305313636,0.1119777500123701,0.011912951337401128,0.0018106076320846493,4,52900000,-6569.452153157769,0.002119198744854872,2000,10
3.15552251393985,16.635955172006213,3.120215414959413,0.11659027741244832,0.01213622478660543,0.00203055479116536,4,52900000,-6572.684200475709,0.00261998680125739,2000,10
3.15552251393985,16.635955172006213,3.120215414959413,0.11659027741244832,0.012136224786605436,0.0020305547911653628,4,52900000,-6572.684200475709,0.0026199868012573963,2000,10
2.782547570623501,12.079314385380744,2.639577143393961,0.11184654077313892,0.01245264045015877,0.00177149571592607,4,52900000,-6595.834567418982,0.00205880824854732,2000,10
2.7825475706235006,12.079314385380743,2.639577143393961,0.11184654077313892,0.012452640450158778,0.0017714957159260763,4,52900000,-6595.834567418982,0.002058808248547329,2000,10
3.569159077567221,7.600131361863226,3.839081419844823,0.1288655134115662,0.0133956804000998,0.00179435741741564,4,52900000,-6616.698832138082,0.00306444285304638,2000,10
3.569159077567221,7.600131361863226,3.8390814198448235,0.1288655134115662,0.013395680400099804,0.0017943574174156404,4,52900000,-6616.698832138082,0.003064442853046383,2000,10
3.409096273142729,62.51132211328005,3.649057417230667,0.1825539243288981,0.01104487212173937,0.00191019388984387,4,52900000,-6763.220327922862,0.00191588831465768,2000,10
3.409096273142729,62.51132211328005,3.649057417230667,0.1825539243288981,0.011044872121739373,0.0019101938898438754,4,52900000,-6763.220327922862,0.0019158883146576807,2000,10
