"","FlightDate","n_dep_delay","n_arr_delay","n_delay"
"268",2024-09-24,4180,4499,8679
"269",2024-09-25,5425,5941,11366
"270",2024-09-26,6656,7044,13700
"271",2024-09-27,7577,7716,15293
"272",2024-09-28,4268,3951,8219
"273",2024-09-29,6560,6273,12833
"274",2024-09-30,5155,4610,9765
"275",2024-10-01,3912,3134,7046
"276",2024-10-02,3789,2842,6631
"277",2024-10-03,3645,3232,6877
"278",2024-10-04,3742,3552,7294
"279",2024-10-05,3861,2867,6728
"280",2024-10-06,6457,5179,11636
"281",2024-10-07,3962,3592,7554
"282",2024-10-08,2565,2081,4646
"283",2024-10-09,3440,2423,5863
"284",2024-10-10,5185,4292,9477
"285",2024-10-11,6660,5377,12037
"286",2024-10-12,3437,2564,6001
"287",2024-10-13,3854,3550,7404
"288",2024-10-14,3903,3646,7549
"289",2024-10-15,2774,2602,5376
"290",2024-10-16,3225,3121,6346
"291",2024-10-17,6668,5947,12615
"292",2024-10-18,6103,5577,11680
"293",2024-10-19,2750,2276,5026
"294",2024-10-20,4291,3833,8124
"295",2024-10-21,3604,3184,6788
"296",2024-10-22,2304,1970,4274
"297",2024-10-23,2580,2252,4832
"298",2024-10-24,4334,3885,8219
"299",2024-10-25,5975,4781,10756
"300",2024-10-26,3264,2671,5935
"301",2024-10-27,3866,3271,7137
"302",2024-10-28,3371,3023,6394
"303",2024-10-29,1791,1587,3378
"304",2024-10-30,1822,1812,3634
"305",2024-10-31,3678,3401,7079
"306",2024-11-01,5973,5521,11494
"307",2024-11-02,4021,4129,8150
"308",2024-11-03,6631,6605,13236
"309",2024-11-04,5369,5414,10783
"310",2024-11-05,4208,4196,8404
"311",2024-11-06,5124,5222,10346
"312",2024-11-07,7727,7844,15571
"313",2024-11-08,7089,6924,14013
"314",2024-11-09,4867,4024,8891
"315",2024-11-10,5865,5173,11038
"316",2024-11-11,5791,5006,10797
"317",2024-11-12,3785,3471,7256
"318",2024-11-13,3861,3913,7774
"319",2024-11-14,5484,5596,11080
"320",2024-11-15,5886,5559,11445
"321",2024-11-16,3496,3315,6811
"322",2024-11-17,5965,5512,11477
"323",2024-11-18,6024,5986,12010
"324",2024-11-19,3314,3608,6922
"325",2024-11-20,4427,4729,9156
