kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_delivname,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
6522745,K04574.01,17.445,29.34,1.00E+00,1.00E+00,q1_q17_dr25_koi,0.003,312,2.34,8.80E-10,2.10E-06,3.60E-01,1.30E-03,2.90E-03,6.30E-01,0.276,5719,141.78,-97.78,0.97,0.117,-0.099,0.95,0.059,-0.069,9.78,0.185,-0.402,1617,197.12,-171.54,0.1,0.118,-0.074
9893468,K04575.01,201.325,1.93,2.10E-02,1.00E+00,q1_q17_dr25_koi,0.199,127,2.46,9.50E-06,1.40E-04,1.10E-02,4.00E-04,9.10E-04,8.60E-03,0.011,6175,66.16,-55.77,1.6,0.438,-0.317,1.28,0.146,-0.107,9.51,0.065,-0.098,853,228.86,-168.28,0.12,0.054,-0.052
10610039,K04577.01,105.997,2.2,2.40E-01,1.00E+00,q1_q17_dr25_koi,0.216,271,5.1,3.70E-04,1.20E-02,1.50E-01,1.20E-04,2.80E-03,8.10E-02,0.02,5787,139.93,-102.04,1.01,0.151,-0.104,0.98,0.06,-0.062,9.74,0.177,-0.409,1050,162.8,-111.09,0.12,0.11,-0.079
10610039,K04577.02,3.074,0.99,1.30E-03,1.00E+00,q1_q17_dr25_koi,0.092,38,1.92,1.00E-11,4.80E-08,4.80E-04,2.70E-06,4.10E-05,7.40E-04,0.009,5796,137.26,-108.52,1.01,0.146,-0.103,0.98,0.067,-0.07,9.74,0.183,-0.381,1050,153.65,-112.15,0.12,0.108,-0.078
9652655,K04578.01,2.489,1.43,1.00E+00,7.50E-01,q1_q17_dr25_koi,0.154,45,2.01,9.70E-43,4.00E-23,6.10E-68,1.20E-13,4.90E-08,7.50E-01,0.009,6367,116.42,-151.31,1.46,0.543,-0.233,1.3,0.168,-0.1,9.37,0.112,-0.243,1656,591.16,-267.08,0.23,0.061,-0.097
8628761,K04580.01,6.304,0.78,2.60E-03,1.00E+00,q1_q17_dr25_koi,0.07,18,1.92,2.10E-10,8.00E-07,1.80E-03,5.40E-05,1.20E-04,6.70E-04,0.006,6287,165.08,-182.22,1.19,0.323,-0.177,1.11,0.148,-0.114,9.48,0.186,-0.31,523,141.7,-79.71,0.36,0.099,-0.117
2572029,K04581.01,6.006,0.77,5.20E-03,1.00E+00,q1_q17_dr25_koi,0.057,18,3.3,2.40E-09,3.90E-06,1.50E-03,7.40E-06,3.10E-05,3.60E-03,0.006,6070,164.43,-194.38,1.18,0.268,-0.151,1.11,0.124,-0.085,9.54,0.193,-0.302,699,163.25,-94.69,0.23,0.114,-0.145
7905106,K04582.01,4.224,0.4,9.70E-01,9.70E-01,q1_q17_dr25_koi,0.001,7,2.64,1.00E-27,3.30E-26,2.90E-02,3.50E-06,2.00E-08,9.10E-01,0.004,5760,78.06,-68.95,0.92,0.047,-0.044,0.95,0.045,-0.049,9.56,0.223,-0.395,223,12.05,-11.09,0.08,0.07,-0.054
9009036,K04585.01,6.763,1.01,3.70E-05,1.00E+00,q1_q17_dr25_koi,0.104,22,2.85,1.70E-35,8.00E-34,1.40E-11,1.90E-08,7.40E-10,4.40E-08,0.007,6261,89.9,-91.27,1.32,0.539,-0.201,1.21,0.169,-0.095,9.46,0.097,-0.282,849,342.99,-131.15,0.07,0.049,-0.05
11506654,K04586.01,75.212,2.37,6.90E-02,1.00E+00,q1_q17_dr25_koi,0.209,167,1.11,3.00E-03,5.80E-02,4.10E-03,1.10E-04,1.20E-03,1.90E-03,0.017,5832,53.85,-53.11,1.28,0.221,-0.173,1.07,0.089,-0.039,9.79,0.102,-0.146,1085,184.88,-148.07,0.07,0.053,-0.046
8934103,K04009.02,77.793,2.1,7.70E-01,1.00E+00,q1_q17_dr25_koi,0.219,165,20.7,4.70E-04,2.00E-03,2.70E-01,2.90E-04,2.00E-03,4.90E-01,0.016,5694,42.05,-42.07,1.2,0.227,-0.168,1.02,0.053,-0.038,9.9,0.079,-0.196,1480,279.72,-204.49,0.02,0.029,-0.015
