"","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho1","rho2","rho3","eta","N","mu_RS","loglik","loglik.se"
"605",0.867789002029122,30.2410114614968,0.00238662889729834,3.03584766992143,4.63514926165547,0.701197081147857,2.11801518419797,0.144521327184764,0.0547983060021065,0.413177789437559,0.710793169300674,0.537614806646643,34530000,0.005,-1239.75009307091,0.0034095290064471
"606",0.917251758784387,31.2488802666658,0.00389564148762141,2.91669895034281,4.67509994835019,0.72177899227037,2.18608780307467,0.153528642575497,0.056737082259025,0.40795327136476,0.826137346985804,0.507003270314204,34530000,0.005,-1239.7356369819,0.00282260067081078
"607",1.23511719973647,29.5192883075809,0.00535657860981006,2.97840984990108,4.62023619436531,0.688332806286409,3.09988568114908,0.140896992632647,0.069874550307439,0.41764240539841,0.670400998190933,0.327508150543279,34530000,0.005,-1240.81488049015,0.00278304896832983
"608",37.4228241228896,52.5783758955092,45.2069454041757,0.356232206991241,5.0145076939385,0.389149841114288,2.02338833900891,2.06426032212306,0.19151787374632,0.448781496708498,0.584570210534394,0.891378143032712,34530000,0.005,-1317.24978159375,0.00108065708788306
"609",37.8064127418259,52.1459900848191,49.4433230169953,0.354930017768659,4.96931468773924,0.453870631601099,2.01576364792517,2.10121963936196,0.192702599341411,0.449970602497619,0.263593591728225,0.768525211704495,34530000,0.005,-1314.10333926419,0.00111621133550148
"610",1.21435656088042,27.9498001948193,0.00820931266509333,2.91569716292089,4.62454269217855,0.708553722039622,3.66409870517612,0.14817747292259,0.0692582882071333,0.41386632013482,0.772491741615852,0.333218268061853,34530000,0.005,-1240.67153012683,0.0027780028210081
"611",0.708390876968253,19.9272813983477,0.00839933590958608,3.18537000675092,4.48768121302148,0.654130422078476,3.72264449630892,0.123778658499713,0.0507947214118121,0.411763069458916,0.555165193280435,0.619675669469414,34530000,0.005,-1240.26605995038,0.00206016083087191
"612",0.661664908871813,17.7203247772492,0.00368415745143632,3.12214518652689,4.59789861447084,0.688599893662315,4.1899859176557,0.136892936115901,0.0477025458674555,0.407796760570276,0.719818288145845,0.679913063090327,34530000,0.005,-1239.57684366034,0.00164524604892689
"613",0.65163839323255,17.8701180899363,0.00515400600882626,3.06677551633947,4.5684242655485,0.695954172965102,4.94622722921347,0.140786210055509,0.0470943245752727,0.403644390093815,0.798856014080325,0.68895876368254,34530000,0.005,-1239.52112940697,0.00306855516770059
"614",1.76006889093802,43.9775959053828,0.00179200523876702,2.84799015468883,4.52888505466853,0.706600982547981,2.27501311194461,0.149510982415069,0.0837443125137681,0.418894093288022,0.704441290063979,0.217159914402269,34530000,0.005,-1241.71028927894,0.00308118344213525
"615",2.07161747556786,71.7861028770456,0.00809622307895089,2.78745122514219,4.553271603945,0.72015543239116,1.37506147937035,0.157806622569356,0.0869404588702916,0.420832888689609,0.714383869794136,0.195583863327912,34530000,0.005,-1242.02606069578,0.00262215405746517
"616",1.34483745404712,38.3945285349655,0.0120126730918988,3.01330585071687,4.47353213857587,0.680133214903282,2.4136309555901,0.133965521561798,0.0728471792088803,0.421160401894897,0.607698485771979,0.299587080619759,34530000,0.005,-1241.25111589184,0.00315268899020048
"617",0.915326581957414,31.4696943767051,0.00164472443954951,3.02602720207549,4.61058041926948,0.696795817260883,2.22563280064295,0.143933640096817,0.0570328340928731,0.412308570758616,0.719873695951589,0.499121371302105,34530000,0.005,-1239.83365201182,0.00243372433351643
"618",37.1605288202492,52.3729981425443,45.4858641075727,0.358925010640637,5.0172952455322,0.399957792596225,2.01614725237159,2.04976357285116,0.187695233920943,0.449997774756759,0.541158078868925,0.616291800856898,34530000,0.005,-1316.36817826418,0.00104636884204744
"619",1.01759924084889,29.7249141615857,0.00186612667498055,2.99193442911053,4.65019887376069,0.693523500135546,2.7046349847849,0.141216693858693,0.0617768342538737,0.414406979923248,0.691010945731951,0.425205721604187,34530000,0.005,-1240.17300291591,0.00233210257751847
"620",0.791974121860513,68.2009643832435,0.0213870953631798,3.18777858055559,4.37306922298678,0.630424381251967,3.0460348388233,0.118237580175984,0.0543397143971884,0.411802498086693,0.490912294886395,0.548879162653824,34530000,0.005,-1241.16239921034,0.00251168236143699
"621",1.81458727491414,53.8928194997736,0.00369567818942254,2.79185818508331,4.57051435671505,0.721523811472564,1.93103929593421,0.154548871697541,0.0835090632454231,0.415302494020893,0.743603712512478,0.216382734967561,34530000,0.005,-1241.67371088142,0.00156136486861365
"622",5.3319468121485,1889.7899103032,0.00117111369470465,2.53581213049731,4.05036674230529,0.825097245638385,0.419309440083647,0.206951933332014,0.107819935833615,0.441728338849679,0.624652284873279,0.08858889273361,34530000,0.005,-1244.61650559936,0.00242304000387464
"623",0.91355969606744,26.8335221099984,0.00280256323665519,3.06538451007147,4.60643267199158,0.680587642717829,2.70760254241195,0.135321538276994,0.0581583917963992,0.413033568789767,0.631632108589172,0.480561514152448,34530000,0.005,-1240.10636064744,0.00237120032559796
"624",1.4902005359687,63.4295484202583,0.00386411818400365,2.80653491742931,4.60158196391159,0.726694967049244,1.60152108157713,0.156439378496328,0.0744759837248147,0.413664942788682,0.743204944128395,0.292964719152238,34530000,0.005,-1241.01160932965,0.00285777418177962
"625",1.09202382276245,42.7062255700603,0.0122157141075718,3.0489401646376,4.47425173473182,0.666433228531939,1.76406699328476,0.132795111247181,0.0638058009815326,0.421252468899401,0.550729087869323,0.410278663996738,34530000,0.005,-1240.88743491353,0.0023894339548066
