"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho1","rho2","rho3","eta","N","mu_RS","loglik","loglik.se"
"11",597,0.761029709617302,30.8930288960161,0.000421926865936661,2.94228737543854,4.64482251864148,0.72342124165051,1.88046276013568,0.155560992387001,0.0493473479489419,0.409365484833545,0.867873894857196,0.653040251432464,34530000,0.005,-1239.47170072117,0.0028305816618087
"12",462,0.798946937123671,29.5856607040027,0.00391646697248512,2.96455267798312,4.65452362321251,0.714948093530848,2.17443150822126,0.15148791124128,0.0519771433945667,0.408050987967316,0.840459478901699,0.597597476004897,34530000,0.005,-1239.53645489886,0.00217897788422084
"13",613,0.703874244588721,26.3212980580803,0.000274698032920425,3.02903430551413,4.62226877546922,0.716923201307295,2.31041231563757,0.15121971588446,0.0480455429596237,0.408119578298125,0.868212320126171,0.68895876368254,34530000,0.005,-1239.44542539428,0.00174999767601041
"14",558,0.756437513452349,28.4501153350721,0.000466096440703365,2.9079236287386,4.64262696950805,0.715162227693797,2.20774093927537,0.152359313868287,0.0499667127705477,0.406785556275498,0.849207817022319,0.637495778234888,34530000,0.005,-1239.46442007953,0.001829529185824
"15",587,0.755740278752721,29.6541686927153,0.000469004753424784,2.98413404576396,4.62884090108731,0.714535467785118,2.17606738381762,0.151460423325471,0.0501257589038168,0.407643632503403,0.847836145620907,0.6378617131414,34530000,0.005,-1239.47133788759,0.00308601904510622
"16",71,0.647531256260069,23.1378009525705,0.00081267015187627,3.02959581478469,4.58004987480121,0.713559269216385,2.38270531114585,0.149859957778585,0.0451336644707668,0.408516679580969,0.853246761222088,0.755455411489874,34530000,0.005,-1239.46671528427,0.0030151143575262
"17",241,0.742785254665754,25.4355566435952,0.0011318868875145,2.98307049985613,4.66261189317953,0.715395147395667,2.47195813865199,0.150144820509156,0.0498796795112205,0.406588604417551,0.85591863188379,0.63903321829149,34530000,0.005,-1239.45935180738,0.00243266786961803
"18",382,0.782419852445369,26.444784113629,0.000463876441484319,3.0330918611112,4.58552148575162,0.706391650182172,2.29720682558768,0.150925937534189,0.0515002865230387,0.40800876632783,0.842348291307579,0.607651237045348,34530000,0.005,-1239.50456447728,0.00207326054028977
"19",645,0.760136041457785,25.6275333097596,0.00400250088067223,2.98067607927619,4.59723485343281,0.704688896037173,2.61420990482299,0.149431434121654,0.0508198646444752,0.406838677415385,0.834451561925103,0.616598386745316,34530000,0.005,-1239.50114611567,0.00234254194799548
"20",173,0.638459532786988,22.2538251911495,0.000233199410224533,3.0331049581578,4.60927316132722,0.71311878066793,2.81213907538549,0.148031795813777,0.0453045831297071,0.405015098891289,0.857862488554412,0.751213394192647,34530000,0.005,-1239.470155042,0.00277885371894047
"21",396,0.689289407153802,24.4303362227,0.00028851318900049,3.01705710105446,4.53342079986697,0.711631892542732,2.43500063365284,0.148083567612628,0.0474107378238239,0.408310437837629,0.824142622874751,0.697627519750017,34530000,0.005,-1239.43801937876,0.00213327840851602
"22",203,0.775469783587489,27.0044659200589,0.000863382246944618,2.97350713940358,4.64030532318173,0.708655351295801,2.27728544509954,0.152773982058892,0.0511156549629531,0.407128944802691,0.861741432185183,0.616351595167302,34530000,0.005,-1239.48915923511,0.00230786541073035
"23",496,0.694476824849755,26.4522415748123,0.000322227097802595,2.97829107559067,4.57969921967152,0.723232941726369,1.95620475726835,0.152293696702336,0.0466928101555199,0.410686184497744,0.86770070389541,0.719303881950378,34530000,0.005,-1239.46573922038,0.00231010733616834
"24",586,0.631671583253265,23.7350757138325,0.000842363134822938,3.01832949825012,4.56635006807656,0.715421916834912,2.54944731994946,0.150627673586577,0.0445282238620378,0.405693418811112,0.886026434824003,0.774762518918242,34530000,0.005,-1239.51505924845,0.00231564452668371
"25",124,0.656295149696312,26.5158081029065,0.000437842478051203,2.98093385599014,4.5629482782548,0.715021446752009,2.00210078100905,0.153466736714988,0.0449621690515455,0.407869582274789,0.887878853511247,0.768287654857251,34530000,0.005,-1239.4992882682,0.00184715878045508
"26",243,0.725233109795225,27.18457578966,0.00167399764539571,3.01821662053621,4.61177934014995,0.70592344798266,2.17717571171284,0.149616301577317,0.0484408836098739,0.408346221782742,0.837799533882933,0.668931603737128,34530000,0.005,-1239.45765880775,0.00297405306535899
"27",328,0.720876420284978,30.3931985052784,0.000743623787307804,2.95098235981625,4.62712534718331,0.724438848090293,1.90866329954299,0.154225900193938,0.0479762180505524,0.409726390341894,0.848940556435305,0.693280899564043,34530000,0.005,-1239.46588117233,0.00120136463626424
"28",460,0.622654013128599,22.5238676627253,0.00265610146319961,3.0597360519018,4.57989399526375,0.718609292111755,2.3845396340473,0.148094911061143,0.0440683869181388,0.410671636604102,0.84907585303795,0.789734217902677,34530000,0.005,-1239.52644084308,0.0015696400366972
"29",490,0.697926746862976,25.9645473479336,0.00107672591812588,3.00608381395733,4.61655039219242,0.708127641805155,2.12524609569402,0.152192573662273,0.0474080811828608,0.410533252733482,0.862882549759218,0.705493465258932,34530000,0.005,-1239.45733672527,0.00157105835269698
"30",208,0.701713734066016,29.1045972010578,0.00203093483854064,3.01425734060526,4.55174854337727,0.707848154663576,1.90161771681214,0.152444364679781,0.0469997131531664,0.408888706086688,0.831016567412711,0.714032672205126,34530000,0.005,-1239.48273891722,0.001990769915975
"31",612,0.712535699221071,26.4704095861253,0.00115420230896832,3.01575329837699,4.62989584592445,0.716532992991694,2.3078861742182,0.151079870433864,0.0482437492243766,0.406828771686289,0.854276435622659,0.679913063090327,34530000,0.005,-1239.4463176986,0.00220864526430793
"32",485,0.655271389925392,24.0965047799182,0.00051554232942269,3.04271114548331,4.57918708423065,0.71230903238145,2.37564224409704,0.149391174322319,0.0455927606131313,0.408865268283636,0.853376296431745,0.744581235600344,34530000,0.005,-1239.45737365664,0.00248159608034447
