"","X","b1","b2","b3","k1","k2","k3","mu_EI","mu_IR","rho","eta","N","mu_RS","loglik","loglik.se"
"12",553,1.48184882968689,387.971432336575,0.00251646337345368,1.63011565952715,2.49153579173994,0.484522303440793,5.80154141328305,0.0151340318402553,0.540115563998814,0.161024434144609,34530000,0.005,-1273.70036868858,0.00452239769833418
"13",653,1.28492933017838,1549.57831451122,0.00204620990408089,1.60403800530666,2.53932954815692,0.484094125510049,11.145421793861,0.0140188860444328,0.551630761024249,0.190089766019103,34530000,0.005,-1273.65801495099,0.00458154276440692
"14",227,1.35708731180475,401.504559801978,0.00334003221886873,1.62316958529383,2.50682500904819,0.480004162266795,8.1603611137991,0.0132810162988147,0.57718260422872,0.179541595515666,34530000,0.005,-1273.51297695355,0.00528242511273861
"15",300,1.52211382670758,65.8572474633478,0.000787506779742193,1.62600673992681,2.45823689642247,0.488236177518429,5.32233754587574,0.0153098302500652,0.538098078273433,0.155883651119713,34530000,0.005,-1273.70364179529,0.00412544913461217
"16",701,1.36594486260717,95.149849822383,0.000468429150158824,1.62645760295176,2.50496499211645,0.481011603809215,5.44193428967622,0.0131728586432013,0.580642346620074,0.181885342566415,34530000,0.005,-1273.50113997044,0.00337641867825222
"17",375,1.32984219368954,17149.0652761467,0.00193506862819595,1.60783011438827,2.50751521711,0.481067384795017,14.0012283235388,0.0142904759310607,0.549676891988067,0.180003013570615,34530000,0.005,-1273.64792548344,0.00679294732987271
"18",545,1.31846015733955,1054.41444231582,0.00164260411793782,1.59805547024236,2.53641990457423,0.483435934962314,5.15907602124732,0.0143658255083739,0.541642707191897,0.190191279437203,34530000,0.005,-1273.74962753698,0.00311585219406844
"19",232,0.813008319630469,142.051702412922,0.00174869574927511,1.50294210213351,2.73903256059379,0.479124200907153,13.9882070880172,0.011671075179287,0.546886178079069,0.3410563422936,34530000,0.005,-1273.93734970048,0.00489174089679942
"20",587,1.40269092308368,1014.05482159561,0.00244003664478995,1.61581879326764,2.48806255784963,0.483863292909633,5.67225989298578,0.0153368823434848,0.525924833987048,0.174190980198618,34530000,0.005,-1273.83373264892,0.0029224978838035
"21",95,1.20055193981741,50.3419926925767,0.00103595225104732,1.58674474168458,2.52778635910548,0.477503084897009,8.55087801570158,0.0143007786396081,0.532414969637609,0.210150130909026,34530000,0.005,-1273.83295644578,0.00729056780679272
